"search-number","evaluation","a*","b*","c*","d*","fitness","num-replicates","best-fitness-so-far","best-fitness-rechecked"
"1","1","-2","-15","-22","5","-2110.929544473563","1","-2110.929544473563","-1519.2692680516313"
"1","2","-2","-15","-22","10","-3371.9603092478746","1","-2110.929544473563","-1519.2692680516313"
"1","3","-2","-15","-22","4","-2917.008546340004","1","-2110.929544473563","-1519.2692680516313"
"1","4","1","-14","11","5","561.8500780128709","1","561.8500780128709","-1853.7199030620993"
"1","5","1","-14","-12","5","-412.75385702227027","1","561.8500780128709","-1853.7199030620993"
"1","6","1","-14","11","-6","-468.1080387360571","1","561.8500780128709","-1853.7199030620993"
"1","7","0","-13","11","5","-435.1023364754225","1","561.8500780128709","-1853.7199030620993"
"1","8","1","-14","-12","5","-2156.4454514338613","1","561.8500780128709","-1853.7199030620993"
"1","9","1","-14","10","5","-1116.6880879636917","1","561.8500780128709","-1853.7199030620993"
"1","10","1","-13","11","5","609.7226701731531","1","609.7226701731531","-750.134870335375"
"1","11","1","-13","10","6","-1702.1345015685783","1","609.7226701731531","-750.134870335375"
"1","12","-2","-13","11","5","-337.42844626761087","1","609.7226701731531","-750.134870335375"
"1","13","1","12","8","5","-453.16828310771405","1","609.7226701731531","-750.134870335375"
"1","14","1","-1","11","5","794.3873858662485","1","794.3873858662485","-1422.536015408792"
"1","15","14","-9","-12","5","-252.84963456297817","1","794.3873858662485","-1422.536015408792"
"1","16","1","-4","11","5","228.0271852201097","1","794.3873858662485","-1422.536015408792"
"1","17","0","-1","11","5","226.8355909739463","1","794.3873858662485","-1422.536015408792"
"1","18","14","0","11","6","-1083.1561765646209","1","794.3873858662485","-1422.536015408792"
"1","19","30","-1","21","5","-2454.7258582531977","1","794.3873858662485","-1422.536015408792"
"1","20","1","32","11","-6","-1942.3564180935537","1","794.3873858662485","-1422.536015408792"
"1","21","1","-1","11","10","614.9325754109959","1","794.3873858662485","-1422.536015408792"
"1","22","30","-1","11","2","-2482.631142458925","1","794.3873858662485","-1422.536015408792"
"1","23","1","-2","11","5","506.64047715819606","1","794.3873858662485","-1422.536015408792"
"1","24","1","-1","21","5","952.2172447392436","1","952.2172447392436","-2134.5354026448463"
"1","25","1","-2","21","5","-568.8777071311454","1","952.2172447392436","-2134.5354026448463"
"1","26","0","-1","21","5","-2500.874413833155","1","952.2172447392436","-2134.5354026448463"
"1","27","1","-1","21","4","-3257.1343165086596","1","952.2172447392436","-2134.5354026448463"
"1","28","-2","-4","24","5","-1530.0706693193551","1","952.2172447392436","-2134.5354026448463"
"1","29","1","-2","21","-6","-1638.816420552459","1","952.2172447392436","-2134.5354026448463"
"1","30","1","0","21","5","-3606.4216692740697","1","952.2172447392436","-2134.5354026448463"
"1","31","1","-1","21","6","-420.8419267650793","1","952.2172447392436","-2134.5354026448463"
"1","32","14","-1","20","-28","-3991.9592655491206","1","952.2172447392436","-2134.5354026448463"
"1","33","1","-1","4","5","161.84406657607627","1","952.2172447392436","-2134.5354026448463"
"1","34","2","-4","21","10","-1983.476418250477","1","952.2172447392436","-2134.5354026448463"
"1","35","30","-8","11","5","-331.39835922042334","1","952.2172447392436","-2134.5354026448463"
"1","36","6","-1","21","5","-1423.8590492104602","1","952.2172447392436","-2134.5354026448463"
"1","37","0","-1","21","10","-478.46351003745076","1","952.2172447392436","-2134.5354026448463"
"1","38","1","-1","21","2","-204.72121736638996","1","952.2172447392436","-2134.5354026448463"
"1","39","1","-1","11","-3","-353.85535546273525","1","952.2172447392436","-2134.5354026448463"
"1","40","1","-4","21","5","-2432.1002385989677","1","952.2172447392436","-2134.5354026448463"
"2","1","11","-5","8","9","-1301.9308348776485","1","-1301.9308348776485","-1071.818158736821"
"2","2","11","-5","8","25","-4022.6904974452746","1","-1301.9308348776485","-1071.818158736821"
"2","3","-12","-5","8","9","-1656.184269520022","1","-1301.9308348776485","-1071.818158736821"
"2","4","11","-4","8","9","-1353.2004367794057","1","-1301.9308348776485","-1071.818158736821"
"2","5","11","-8","8","9","-1677.360857489275","1","-1301.9308348776485","-1071.818158736821"
"2","6","20","4","8","9","-132.81223808840298","1","-132.81223808840298","-489.99342110631744"
"2","7","20","4","8","6","-1720.0215784473776","1","-132.81223808840298","-489.99342110631744"
"2","8","20","4","11","9","-361.9942038419691","1","-132.81223808840298","-489.99342110631744"
"2","9","20","3","8","9","-1954.1249137736081","1","-132.81223808840298","-489.99342110631744"
"2","10","21","-5","8","9","-1958.506838446846","1","-132.81223808840298","-489.99342110631744"
"2","11","21","4","8","9","-486.51722768083704","1","-132.81223808840298","-489.99342110631744"
"2","12","20","4","9","9","184.57782433131274","1","184.57782433131274","-899.1176131665309"
"2","13","-22","4","9","9","-747.6680165688622","1","184.57782433131274","-899.1176131665309"
"2","14","-21","4","9","9","-788.2777255087676","1","184.57782433131274","-899.1176131665309"
"2","15","11","7","9","9","-1119.312404038049","1","184.57782433131274","-899.1176131665309"
"2","16","20","11","9","9","-1146.141742335132","1","184.57782433131274","-899.1176131665309"
"2","17","20","4","9","-11","-84.01860749180719","1","184.57782433131274","-899.1176131665309"
"2","18","21","4","10","9","-243.6222815711401","1","184.57782433131274","-899.1176131665309"
"2","19","27","4","-9","9","-1461.4091632863958","1","184.57782433131274","-899.1176131665309"
"2","20","24","4","22","14","-3210.8495254786785","1","184.57782433131274","-899.1176131665309"
"2","21","20","28","9","14","-3562.695576049279","1","184.57782433131274","-899.1176131665309"
"2","22","20","5","9","8","-1126.3928041338922","1","184.57782433131274","-899.1176131665309"
"2","23","11","4","9","9","252.72313920664044","1","252.72313920664044","-1766.8869202508956"
"2","24","10","3","-10","9","-1720.5523410781684","1","252.72313920664044","-1766.8869202508956"
"2","25","11","3","14","8","-612.8763883959025","1","252.72313920664044","-1766.8869202508956"
"2","26","11","11","9","9","-491.2025927566135","1","252.72313920664044","-1766.8869202508956"
"2","27","-12","4","9","9","565.4350511101538","1","565.4350511101538","-786.9660598493222"
"2","28","-12","4","14","9","259.4282748949802","1","565.4350511101538","-786.9660598493222"
"2","29","-12","7","9","9","358.02267382608034","1","565.4350511101538","-786.9660598493222"
"2","30","-12","-5","9","9","-2164.239975719691","1","565.4350511101538","-786.9660598493222"
"2","31","-12","4","6","9","307.87982715078397","1","565.4350511101538","-786.9660598493222"
"2","32","-5","4","14","-10","-832.1833316017838","1","565.4350511101538","-786.9660598493222"
"2","33","-12","11","9","9","-458.48714524690786","1","565.4350511101538","-786.9660598493222"
"2","34","-12","27","9","9","-2398.8217530862735","1","565.4350511101538","-786.9660598493222"
"2","35","-11","4","-10","9","384.73485015136293","1","565.4350511101538","-786.9660598493222"
"2","36","-12","-5","9","9","128.23435032752388","1","565.4350511101538","-786.9660598493222"
"2","37","-12","4","-10","9","-1432.0058255125448","1","565.4350511101538","-786.9660598493222"
"2","38","-12","28","9","9","-2326.352917824388","1","565.4350511101538","-786.9660598493222"
"2","39","-12","4","10","9","-1134.817329588742","1","565.4350511101538","-786.9660598493222"
"2","40","-12","4","6","6","-431.61880726023895","1","565.4350511101538","-786.9660598493222"
"3","1","-3","-8","-22","-21","-4165.987195830739","1","-4165.987195830739","-3438.4521669305313"
"3","2","-3","-8","21","-13","-3556.090921336262","1","-3556.090921336262","-2484.2413071075525"
"3","3","-4","-8","21","-13","-3050.3264974604817","1","-3050.3264974604817","-2713.9027429740468"
"3","4","-4","-5","20","-20","-5378.831135807104","1","-3050.3264974604817","-2713.9027429740468"
"3","5","-3","-8","-22","-14","-3035.183533624739","1","-3035.183533624739","-3040.246989489105"
"3","6","2","-8","-22","-3","-1916.8701861524526","1","-1916.8701861524526","-1426.8680273549476"
"3","7","5","7","-22","-6","-1784.3635824835137","1","-1784.3635824835137","-2189.4118329690054"
"3","8","10","7","-22","-6","-1780.4634342196086","1","-1780.4634342196086","-2402.570466527014"
"3","9","-6","7","-22","-6","-2464.735606118418","1","-1780.4634342196086","-2402.570466527014"
"3","10","10","0","-22","-5","-1965.6434444725098","1","-1780.4634342196086","-2402.570466527014"
"3","11","-14","7","-22","-6","-1456.8951117633915","1","-1456.8951117633915","-1656.7499037789285"
"3","12","-11","7","-22","-11","-1505.4722831766555","1","-1456.8951117633915","-1656.7499037789285"
"3","13","-14","6","-22","5","-2600.5195726547","1","-1456.8951117633915","-1656.7499037789285"
"3","14","-14","1","21","-28","-5331.729463094878","1","-1456.8951117633915","-1656.7499037789285"
"3","15","-14","7","-22","-5","-1658.0347758532675","1","-1456.8951117633915","-1656.7499037789285"
"3","16","13","7","-22","-6","-1355.9766102091785","1","-1355.9766102091785","-2664.657802346851"
"3","17","2","7","-22","-6","-1692.159477582338","1","-1355.9766102091785","-2664.657802346851"
"3","18","-14","7","-22","-6","-1968.9892475263903","1","-1355.9766102091785","-2664.657802346851"
"3","19","13","7","-22","-3","-3750.4374520383353","1","-1355.9766102091785","-2664.657802346851"
"3","20","-11","7","-22","-6","-1903.2745040461732","1","-1355.9766102091785","-2664.657802346851"
"3","21","13","32","-22","-6","-2751.5831934180096","1","-1355.9766102091785","-2664.657802346851"
"3","22","-14","25","-22","-6","-2985.6135904938715","1","-1355.9766102091785","-2664.657802346851"
"3","23","12","8","-22","-6","-1847.2599469175211","1","-1355.9766102091785","-2664.657802346851"
"3","24","10","7","-22","-6","-1660.9213049500738","1","-1355.9766102091785","-2664.657802346851"
"3","25","2","7","-25","-6","-1708.9133404118697","1","-1355.9766102091785","-2664.657802346851"
"3","26","13","-8","-22","-6","-2590.575010219601","1","-1355.9766102091785","-2664.657802346851"
"3","27","13","7","-29","-6","-2461.9761327673996","1","-1355.9766102091785","-2664.657802346851"
"3","28","14","6","-22","-6","-1884.806129664706","1","-1355.9766102091785","-2664.657802346851"
"3","29","13","4","-22","-6","-778.5267475180759","1","-778.5267475180759","-1356.9102875344454"
"3","30","13","4","-25","-6","-2063.9031939216507","1","-778.5267475180759","-1356.9102875344454"
"3","31","13","5","-22","-6","-2419.0599912871376","1","-778.5267475180759","-1356.9102875344454"
"3","32","13","4","-22","-11","-2907.737860035635","1","-778.5267475180759","-1356.9102875344454"
"3","33","-14","4","-29","5","-3577.5523537389586","1","-778.5267475180759","-1356.9102875344454"
"3","34","19","-5","21","-6","-2733.8643987077576","1","-778.5267475180759","-1356.9102875344454"
"3","35","13","4","20","9","-1753.4203546308238","1","-778.5267475180759","-1356.9102875344454"
"3","36","12","4","-22","-6","-1081.8958011346272","1","-778.5267475180759","-1356.9102875344454"
"3","37","12","5","-22","-11","-1979.0633387725895","1","-778.5267475180759","-1356.9102875344454"
"3","38","12","-5","-22","5","-1838.860845942166","1","-778.5267475180759","-1356.9102875344454"
"3","39","-11","3","-22","-6","-1291.271427308755","1","-778.5267475180759","-1356.9102875344454"
"3","40","-11","4","-22","5","-649.6907321539102","1","-649.6907321539102","-2002.8017082614315"
"4","1","-15","-15","7","-30","-5179.953519730859","1","-5179.953519730859","-4429.452686901164"
"4","2","-15","-17","0","-30","-5123.802660880216","1","-5123.802660880216","-4330.948636825112"
"4","3","-15","-17","0","-31","-5390.32567435011","1","-5123.802660880216","-4330.948636825112"
"4","4","-16","-17","0","-30","-3984.588313517447","1","-3984.588313517447","-4221.773802313562"
"4","5","-16","15","0","-30","-4494.577190589336","1","-3984.588313517447","-4221.773802313562"
"4","6","-16","-17","3","-30","-3336.1398671594807","1","-3336.1398671594807","-5131.401545455361"
"4","7","-17","-17","-4","-30","-5291.220656122781","1","-3336.1398671594807","-5131.401545455361"
"4","8","-16","-17","-4","-30","-5364.685824112206","1","-3336.1398671594807","-5131.401545455361"
"4","9","-1","-17","4","-30","-3368.002736959621","1","-3336.1398671594807","-5131.401545455361"
"4","10","-16","-1","3","-30","-3477.2313340244878","1","-3336.1398671594807","-5131.401545455361"
"4","11","-16","15","3","-30","-3311.0078839251273","1","-3311.0078839251273","-4390.530966274215"
"4","12","-12","15","-4","-30","-4119.111390454284","1","-3311.0078839251273","-4390.530966274215"
"4","13","0","16","3","-30","-3397.5292536299903","1","-3311.0078839251273","-4390.530966274215"
"4","14","15","15","3","-3","-995.6450569050728","1","-995.6450569050728","-1637.304583868802"
"4","15","-16","15","3","2","-1981.9308121582085","1","-995.6450569050728","-1637.304583868802"
"4","16","16","15","3","-3","196.16520057846446","1","196.16520057846446","-1368.3402534412471"
"4","17","-17","31","28","-3","-4430.63704920349","1","196.16520057846446","-1368.3402534412471"
"4","18","16","8","3","-3","244.38953945958315","1","244.38953945958315","-197.50948013951438"
"4","19","16","11","3","-14","-1352.092582719553","1","244.38953945958315","-197.50948013951438"
"4","20","16","11","3","-4","-599.2259323594103","1","244.38953945958315","-197.50948013951438"
"4","21","16","-9","-13","-3","701.8602551155898","1","701.8602551155898","-843.3308815759578"
"4","22","16","-24","-13","-30","-5988.076821831478","1","701.8602551155898","-843.3308815759578"
"4","23","24","-9","-13","-3","-1227.152030894243","1","701.8602551155898","-843.3308815759578"
"4","24","16","-9","-13","-4","-2343.3645769057403","1","701.8602551155898","-843.3308815759578"
"4","25","16","-24","-13","-3","-1879.5306654133096","1","701.8602551155898","-843.3308815759578"
"4","26","16","-32","13","-14","-2881.255526017673","1","701.8602551155898","-843.3308815759578"
"4","27","16","-9","-13","-6","-2129.999653434895","1","701.8602551155898","-843.3308815759578"
"4","28","16","-9","-4","-3","-908.595925083488","1","701.8602551155898","-843.3308815759578"
"4","29","15","-8","-13","-14","-2629.704780563076","1","701.8602551155898","-843.3308815759578"
"4","30","16","-9","12","2","-621.6627273500035","1","701.8602551155898","-843.3308815759578"
"4","31","16","-12","-13","-6","-2234.565280314351","1","701.8602551155898","-843.3308815759578"
"4","32","16","24","-13","-14","-1906.189611487183","1","701.8602551155898","-843.3308815759578"
"4","33","16","8","-4","-4","-45.5410800317747","1","701.8602551155898","-843.3308815759578"
"4","34","16","-9","-13","-2","-1503.1629302473182","1","701.8602551155898","-843.3308815759578"
"4","35","16","-9","-17","-3","-1498.2974036392486","1","701.8602551155898","-843.3308815759578"
"4","36","16","-9","-14","-3","-1839.921075735147","1","701.8602551155898","-843.3308815759578"
"4","37","16","-9","-13","-6","-1024.099762107555","1","701.8602551155898","-843.3308815759578"
"4","38","16","-8","-13","-3","-1269.2716899045304","1","701.8602551155898","-843.3308815759578"
"4","39","16","-9","-17","-6","-1796.2302828557433","1","701.8602551155898","-843.3308815759578"
"4","40","15","-12","-13","-3","-1910.5017540640001","1","701.8602551155898","-843.3308815759578"
"5","1","-12","11","6","-9","-59.805093691766274","1","-59.805093691766274","-787.4544086295336"
"5","2","-12","11","6","24","-2585.1341392658314","1","-59.805093691766274","-787.4544086295336"
"5","3","-12","4","6","-9","-1052.9451794397182","1","-59.805093691766274","-787.4544086295336"
"5","4","-12","20","6","-9","-296.2755967677249","1","-59.805093691766274","-787.4544086295336"
"5","5","-12","11","6","8","-1418.4194737748805","1","-59.805093691766274","-787.4544086295336"
"5","6","-12","11","6","-24","-3829.2321740537154","1","-59.805093691766274","-787.4544086295336"
"5","7","-12","-12","-6","8","-2233.965245518021","1","-59.805093691766274","-787.4544086295336"
"5","8","-12","11","7","-9","-899.6620298346858","1","-59.805093691766274","-787.4544086295336"
"5","9","-12","11","-7","-9","-845.4568053458984","1","-59.805093691766274","-787.4544086295336"
"5","10","-12","11","5","-25","-2764.148359391896","1","-59.805093691766274","-787.4544086295336"
"5","11","-12","11","6","-18","-2484.0303541336643","1","-59.805093691766274","-787.4544086295336"
"5","12","-12","11","-8","-9","-1818.1127760841582","1","-59.805093691766274","-787.4544086295336"
"5","13","-22","10","6","-9","-474.77537769488765","1","-59.805093691766274","-787.4544086295336"
"5","14","-5","11","6","-9","-1533.870645306659","1","-59.805093691766274","-787.4544086295336"
"5","15","-22","11","6","-9","-465.60325469386066","1","-59.805093691766274","-787.4544086295336"
"5","16","-13","11","-6","-9","187.86123686040878","1","187.86123686040878","-1584.2765127793084"
"5","17","-13","20","-6","-9","-1651.2705427105125","1","187.86123686040878","-1584.2765127793084"
"5","18","-17","11","-6","-9","-1959.5891788281929","1","187.86123686040878","-1584.2765127793084"
"5","19","-13","11","-19","-9","-1386.8102546254843","1","187.86123686040878","-1584.2765127793084"
"5","20","12","11","-6","-9","-2533.677477462607","1","187.86123686040878","-1584.2765127793084"
"5","21","-13","11","-3","-9","-873.4890094703908","1","187.86123686040878","-1584.2765127793084"
"5","22","-13","8","-11","-25","-4240.424541270619","1","187.86123686040878","-1584.2765127793084"
"5","23","-13","11","-6","-12","-280.33773157431654","1","187.86123686040878","-1584.2765127793084"
"5","24","-13","-12","5","-9","-2149.8285643137606","1","187.86123686040878","-1584.2765127793084"
"5","25","-13","4","-6","-9","-2476.490986927359","1","187.86123686040878","-1584.2765127793084"
"5","26","-13","-12","-6","-9","-1472.7320779741808","1","187.86123686040878","-1584.2765127793084"
"5","27","-14","11","-6","-9","-817.7399208600546","1","187.86123686040878","-1584.2765127793084"
"5","28","-20","11","-6","8","-458.92426761046113","1","187.86123686040878","-1584.2765127793084"
"5","29","-13","11","5","-9","-1241.506866421077","1","187.86123686040878","-1584.2765127793084"
"5","30","-13","8","5","-17","-1138.2902835064297","1","187.86123686040878","-1584.2765127793084"
"5","31","-14","10","-6","-9","-1745.9719772080448","1","187.86123686040878","-1584.2765127793084"
"5","32","-13","11","-11","-8","-693.7508771516141","1","187.86123686040878","-1584.2765127793084"
"5","33","-13","4","-11","-9","-1470.2164457836811","1","187.86123686040878","-1584.2765127793084"
"5","34","-21","8","-6","-9","-827.7272775440979","1","187.86123686040878","-1584.2765127793084"
"5","35","12","11","-6","-9","-526.388513263303","1","187.86123686040878","-1584.2765127793084"
"5","36","-4","10","-6","-9","-820.0474032528098","1","187.86123686040878","-1584.2765127793084"
"5","37","-13","4","-11","-24","-4896.532599595825","1","187.86123686040878","-1584.2765127793084"
"5","38","-13","-12","-6","-9","-1729.0479079534484","1","187.86123686040878","-1584.2765127793084"
"5","39","-13","11","-6","8","-406.86393072716385","1","187.86123686040878","-1584.2765127793084"
"5","40","-13","-12","10","-9","-1146.0179103015978","1","187.86123686040878","-1584.2765127793084"
"6","1","7","-23","7","-8","-2162.595580712844","1","-2162.595580712844","-1412.8839250307133"
"6","2","7","21","7","-8","-873.7549231613341","1","-873.7549231613341","-1703.341687066355"
"6","3","7","21","7","-5","-940.9029011420912","1","-873.7549231613341","-1703.341687066355"
"6","4","7","21","-8","-8","-1252.676484609746","1","-873.7549231613341","-1703.341687066355"
"6","5","7","10","7","-7","400.98230323763676","1","400.98230323763676","-1244.4244244482777"
"6","6","7","10","0","-26","-2256.0299235957705","1","400.98230323763676","-1244.4244244482777"
"6","7","7","10","4","-7","-63.799226883241204","1","400.98230323763676","-1244.4244244482777"
"6","8","7","10","7","-31","-4561.615804950147","1","400.98230323763676","-1244.4244244482777"
"6","9","7","10","0","-6","934.9668022554015","1","934.9668022554015","-1217.1860411004886"
"6","10","-8","10","31","-6","-2783.3948930083616","1","934.9668022554015","-1217.1860411004886"
"6","11","7","11","0","-6","-456.25006180534626","1","934.9668022554015","-1217.1860411004886"
"6","12","6","10","15","-6","264.77498803009985","1","934.9668022554015","-1217.1860411004886"
"6","13","7","10","-1","-6","-59.94754960538154","1","934.9668022554015","-1217.1860411004886"
"6","14","7","-22","0","-3","-1551.3932128178706","1","934.9668022554015","-1217.1860411004886"
"6","15","7","11","0","-27","-3015.232215772206","1","934.9668022554015","-1217.1860411004886"
"6","16","7","10","0","-5","-1819.4530317658687","1","934.9668022554015","-1217.1860411004886"
"6","17","7","11","31","-6","-4100.90335532865","1","934.9668022554015","-1217.1860411004886"
"6","18","7","-14","0","-6","-271.4840725330648","1","934.9668022554015","-1217.1860411004886"
"6","19","7","10","3","-6","122.25823293229757","1","934.9668022554015","-1217.1860411004886"
"6","20","-8","-11","7","-7","267.3912284350823","1","934.9668022554015","-1217.1860411004886"
"6","21","25","10","0","-6","-2453.528610498713","1","934.9668022554015","-1217.1860411004886"
"6","22","7","13","0","5","-528.7122166231666","1","934.9668022554015","-1217.1860411004886"
"6","23","7","-11","0","-7","-28.040359141957595","1","934.9668022554015","-1217.1860411004886"
"6","24","-8","10","0","-6","-2.191649195004061","1","934.9668022554015","-1217.1860411004886"
"6","25","8","10","0","-6","479.90701536619315","1","934.9668022554015","-1217.1860411004886"
"6","26","7","-11","0","-6","618.2044367214783","1","934.9668022554015","-1217.1860411004886"
"6","27","4","10","0","-6","921.6512637259179","1","934.9668022554015","-1217.1860411004886"
"6","28","7","10","0","-11","23.25270599528824","1","934.9668022554015","-1217.1860411004886"
"6","29","7","10","1","-6","411.1408688527217","1","934.9668022554015","-1217.1860411004886"
"6","30","7","10","0","5","-1280.4879610734033","1","934.9668022554015","-1217.1860411004886"
"6","31","25","10","15","-11","124.9165306520249","1","934.9668022554015","-1217.1860411004886"
"6","32","7","10","31","-6","-1934.9805984124068","1","934.9668022554015","-1217.1860411004886"
"6","33","7","10","0","-27","-3606.997280884186","1","934.9668022554015","-1217.1860411004886"
"6","34","0","10","3","-6","1097.8132218487954","1","1097.8132218487954","-106.86260763745744"
"6","35","7","11","3","-6","892.7996304320329","1","1097.8132218487954","-106.86260763745744"
"6","36","0","10","3","5","-171.2570955764607","1","1097.8132218487954","-106.86260763745744"
"6","37","0","10","3","-5","53.472490076359065","1","1097.8132218487954","-106.86260763745744"
"6","38","0","-11","4","-6","-1937.1717255172944","1","1097.8132218487954","-106.86260763745744"
"6","39","0","21","12","-6","-987.2589331734051","1","1097.8132218487954","-106.86260763745744"
"6","40","0","11","4","5","-1077.1372481757073","1","1097.8132218487954","-106.86260763745744"
"7","1","26","-22","-29","-31","-6232.81612050603","1","-6232.81612050603","-8503.430005130002"
"7","2","-27","-22","29","-31","-8605.870320976635","1","-6232.81612050603","-8503.430005130002"
"7","3","26","-22","-29","-3","-3709.50818259434","1","-3709.50818259434","-4390.780589680742"
"7","4","-26","-22","-29","-3","-5393.499193341495","1","-3709.50818259434","-4390.780589680742"
"7","5","27","-22","-29","2","-3365.707741234467","1","-3365.707741234467","-3942.7670241963688"
"7","6","5","-22","-20","2","-2846.2381832237234","1","-2846.2381832237234","-2041.6919734930332"
"7","7","5","-22","-20","5","-1944.6475617255223","1","-1944.6475617255223","-2323.107134771993"
"7","8","5","-22","-20","27","-4551.879261833057","1","-1944.6475617255223","-2323.107134771993"
"7","9","10","-22","-20","5","-2820.078607441276","1","-1944.6475617255223","-2323.107134771993"
"7","10","10","-22","-13","-6","-2132.445504222619","1","-1944.6475617255223","-2323.107134771993"
"7","11","5","-25","-20","5","-2266.2733308437223","1","-1944.6475617255223","-2323.107134771993"
"7","12","5","-13","-20","5","-1699.5365716023744","1","-1699.5365716023744","-1686.0675691411388"
"7","13","5","-13","19","5","-1838.4166543543092","1","-1699.5365716023744","-1686.0675691411388"
"7","14","5","-13","-17","5","-2489.287117581497","1","-1699.5365716023744","-1686.0675691411388"
"7","15","5","-13","-20","27","-4614.572226460431","1","-1699.5365716023744","-1686.0675691411388"
"7","16","10","-17","19","5","-1520.0338616703561","1","-1520.0338616703561","-2271.3940452851916"
"7","17","10","-17","19","30","-5624.757985706763","1","-1520.0338616703561","-2271.3940452851916"
"7","18","22","-17","19","5","-3211.6001740200677","1","-1520.0338616703561","-2271.3940452851916"
"7","19","10","-17","-21","5","-1962.6685805739924","1","-1520.0338616703561","-2271.3940452851916"
"7","20","10","-2","19","6","-2940.331261534937","1","-1520.0338616703561","-2271.3940452851916"
"7","21","10","-1","19","-5","-726.2719767193053","1","-726.2719767193053","-1460.6899036154532"
"7","22","10","7","19","-12","-2269.4606747326256","1","-726.2719767193053","-1460.6899036154532"
"7","23","10","-8","19","-5","-805.568556892186","1","-726.2719767193053","-1460.6899036154532"
"7","24","10","7","19","-5","-1106.5017574387525","1","-726.2719767193053","-1460.6899036154532"
"7","25","10","-1","19","-6","-2693.7740620715567","1","-726.2719767193053","-1460.6899036154532"
"7","26","-11","-1","19","4","-2936.491177196818","1","-726.2719767193053","-1460.6899036154532"
"7","27","-11","-8","19","-5","-2459.517194988983","1","-726.2719767193053","-1460.6899036154532"
"7","28","-11","0","19","-5","-495.42517287101055","1","-495.42517287101055","-1337.0009159587207"
"7","29","-12","15","19","-12","-2889.9849339030907","1","-495.42517287101055","-1337.0009159587207"
"7","30","-12","0","12","-5","-2031.7512822427789","1","-495.42517287101055","-1337.0009159587207"
"7","31","-11","0","19","-4","-509.1581810588067","1","-495.42517287101055","-1337.0009159587207"
"7","32","-11","0","19","4","-1987.5964249634994","1","-495.42517287101055","-1337.0009159587207"
"7","33","-12","0","18","-4","-824.7708803773248","1","-495.42517287101055","-1337.0009159587207"
"7","34","-11","15","20","4","-1352.4643149232252","1","-495.42517287101055","-1337.0009159587207"
"7","35","10","31","19","-5","-3130.3646363935554","1","-495.42517287101055","-1337.0009159587207"
"7","36","-11","0","-21","-5","-1778.4890837860899","1","-495.42517287101055","-1337.0009159587207"
"7","37","-11","0","16","-4","-1008.954307993685","1","-495.42517287101055","-1337.0009159587207"
"7","38","-11","0","17","-5","-698.2840951196358","1","-495.42517287101055","-1337.0009159587207"
"7","39","10","1","19","-29","-3044.25754963665","1","-495.42517287101055","-1337.0009159587207"
"7","40","-28","15","19","-8","-2876.9535118546414","1","-495.42517287101055","-1337.0009159587207"
"8","1","-15","-32","8","-20","-4194.878591488048","1","-4194.878591488048","-3409.782017065173"
"8","2","-15","-32","8","-19","-2935.199530085673","1","-2935.199530085673","-4179.336767959721"
"8","3","-15","-32","-9","-19","-4050.9455187742483","1","-2935.199530085673","-4179.336767959721"
"8","4","-15","-32","8","17","-3714.725386196373","1","-2935.199530085673","-4179.336767959721"
"8","5","-10","-32","7","-19","-2897.0695658598243","1","-2897.0695658598243","-3545.618141860965"
"8","6","-7","-32","7","-18","-4873.807341372427","1","-2897.0695658598243","-3545.618141860965"
"8","7","-10","-2","25","-19","-3488.4849335973754","1","-2897.0695658598243","-3545.618141860965"
"8","8","-9","31","7","23","-3560.5602879039347","1","-2897.0695658598243","-3545.618141860965"
"8","9","9","32","7","-24","-5109.445568625526","1","-2897.0695658598243","-3545.618141860965"
"8","10","9","-32","7","16","-4335.5412567469775","1","-2897.0695658598243","-3545.618141860965"
"8","11","9","-19","7","-19","-2288.2879426820577","1","-2288.2879426820577","-2282.026806453214"
"8","12","10","-19","7","-19","-2627.174128192306","1","-2288.2879426820577","-2282.026806453214"
"8","13","9","-2","7","18","-1537.1995971133856","1","-1537.1995971133856","-2489.270092558564"
"8","14","9","-2","0","18","-1202.791188356127","1","-1202.791188356127","-966.4374737187209"
"8","15","-11","-2","0","18","-1620.9625875852491","1","-1202.791188356127","-966.4374737187209"
"8","16","9","-2","32","18","-4867.422180094913","1","-1202.791188356127","-966.4374737187209"
"8","17","9","-2","0","23","-1357.8912543093347","1","-1202.791188356127","-966.4374737187209"
"8","18","10","-2","0","18","-2427.6118513837887","1","-1202.791188356127","-966.4374737187209"
"8","19","-10","-2","0","18","-851.7664197945028","1","-851.7664197945028","-1445.3192530741912"
"8","20","-10","-2","0","23","-2684.6998806192773","1","-851.7664197945028","-1445.3192530741912"
"8","21","-15","-2","0","18","-1909.3381944979367","1","-851.7664197945028","-1445.3192530741912"
"8","22","9","-15","0","-24","-4152.180759754814","1","-851.7664197945028","-1445.3192530741912"
"8","23","-10","-2","31","19","-4740.219917893402","1","-851.7664197945028","-1445.3192530741912"
"8","24","-25","-2","-1","18","-1747.0616119778338","1","-851.7664197945028","-1445.3192530741912"
"8","25","-10","-2","0","14","-1237.7144410306673","1","-851.7664197945028","-1445.3192530741912"
"8","26","-10","-2","3","18","-2695.887398562609","1","-851.7664197945028","-1445.3192530741912"
"8","27","-10","-2","32","18","-4537.306150986582","1","-851.7664197945028","-1445.3192530741912"
