"search-number","evaluation","density*","num-replicates","best-fitness-so-far","recheck-replications","best-fitness-rechecked"
"1","5","8.956273169372507","5","0.06991678060872383","20","0.08109048166622401"
"1","10","5.074865795694093","5","0.108347742272274","20","0.14135534958220747"
"1","15","1","5","0.21294635156613217","20","0.26458258475407564"
"1","75","1.4126107826438363","5","0.22870293431995348","20","0.2484022457269548"
"1","105","1","5","0.26087667360086125","20","0.2711070919474663"
